functionname,protocol,device,subdevice,function
VIDEO 2,NEC,184,0,2
VIDEO 2 INPUT,NEC,184,0,2
DSS INPUT,NEC2,184,0,2
,NEC2,184,0,2
VIDEO 2,NEC1,184,0,2
CENTER-,NEC1,184,0,10
CENTER+,NEC1,184,0,11
+10,NEC1,184,0,13
INFO,NEC1,184,0,13
CENTER MODE,NEC1,184,0,85
RDS DISPLAY,NEC1,184,0,88
DISP,NEC1,184,0,88
LOUDNESS,NEC1,184,0,95
T1,NEC,184,0,128
,NEC,184,0,128
T2,NEC,184,0,128
T3,NEC,184,0,128
T4,NEC,184,0,128
T5,NEC,184,0,128
T6,NEC,184,0,128
T7,NEC,184,0,128
T8,NEC,184,0,128
T9,NEC,184,0,128
0,NEC1,184,0,128
EXIT,NEC1,184,0,128
,NEC,184,0,129
T10,NEC,184,0,129
T11,NEC2,184,0,129
T12,NEC2,184,0,129
1,NEC1,184,0,129
,NEC,184,0,130
2,NEC1,184,0,130
,NEC,184,0,131
3,NEC1,184,0,131
INPUT SEL,NEC1,184,0,131
,NEC,184,0,132
4,NEC1,184,0,132
,NEC,184,0,133
5,NEC1,184,0,133
DISPLAY,NEC1,184,0,133
,NEC,184,0,134
6,NEC1,184,0,134
,NEC,184,0,135
7,NEC1,184,0,135
,NEC,184,0,136
8,NEC1,184,0,136
,NEC,184,0,137
9,NEC1,184,0,137
FAVORITE,NEC1,184,0,137
AM/FM,NEC1,184,0,143
ENTER,NEC1,184,0,143
BAND,NEC1,184,0,143
PHONO,NEC1,184,0,144
PHONO INPUT,NEC,184,0,144
TUNER,NEC,184,0,145
TUNER INPUT,NEC,184,0,145
TUNER,NEC1,184,0,145
CD,NEC,184,0,146
CD INPUT,NEC,184,0,146
CD,NEC1,184,0,146
CD 1,NEC,184,0,146
AV AUX,NEC,184,0,147
AV-AUX INPUT,NEC,184,0,147
AV AUX,NEC1,184,0,147
VCR 1,NEC,184,0,147
MD/TAPE1,NEC,184,0,149
TAPE 1 MD INPUT,NEC,184,0,149
TAPE INPUT,NEC,184,0,149
VIDEO 1,NEC1,184,0,149
TAPE 1,NEC1,184,0,149
VIDEO 1,NEC,184,0,150
VIDEO 1 INPUT,NEC,184,0,150
VCR INPUT,NEC1,184,0,150
VIDEO 1,NEC1,184,0,150
VOLUME -,NEC1,184,0,154
VOLUME +,NEC1,184,0,155
MUTE,NEC1,184,0,156
SYS. POWER,NEC1,184,0,157
CODE4 POWER OFF,NEC1,184,0,157
CODE1 POWER OFF,NEC1,184,0,157
CODE1 POWER ON,NEC1,184,0,157
CODE3 POWER OFF,NEC1,184,0,157
CODE3 POWER ON,NEC1,184,0,157
CODE4 POWER ON,NEC1,184,0,157
POWER,NEC1,184,0,157
TAPE 1,NEC1,184,0,157
PRO LOGIC,NEC1,184,0,157
POWER ON,NEC1,184,0,157
POWER OFF,NEC1,184,0,157
PRO-LOGIC,NEC2,184,0,157
SURROUND-,NEC1,184,0,198
SURROUND+,NEC1,184,0,199
STEREO,NEC1,184,0,215
STEREO MODE,NEC,184,0,215
LISTEN MODE,NEC1,184,0,223
DSP MODE,NEC1,184,0,223
